"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"a","0.025784502663090823,-0.16011165150105952","0.18347455304041504,-0.4839245034277439","0.905335559797287,-0.8265408400237559","1.3243196812808513,-0.27799042742848395","1.2669237233668564,0.42335634521842","1.0178757511757313,1.8274498204380272","0.8744022230036557,3.103017453509569","-0.9963264749296009,3.214546568149328","-3.495006308300793,0.39786593013107774","-4.778363572335243,-2.59034382545948","-3.911773630517721,-4.481715790709853","1.2563529372528195,-2.7878654624223707","3.4226723089739677,-1.067111345118284","3.0589032942339776,0.3687456341087818","1.990334151522815,1.5859031637877226","1.1634388720382005,2.6192420031636954","0.09003836364783346,3.276317087885737","-1.8467852200269699,2.7020401133596894","-2.898691397228837,1.967601802971959","-2.3224767326384783,1.664597930318117"
"a","0.4322056413020938,1.0432406401872634","1.73137356486544,1.0033505283474922","1.1119568874083459,1.6492185748785733","-1.121840787236765,1.6921078685343265","-2.3531959882900115,1.2023323009908198","-3.0109821438908577,-0.7468003638327121","-3.1474232892081138,-2.3466052117228506","-1.3827885291233657,-2.749249608302116","1.4195625547692179,-1.7796891213536261","2.946711331771314,-0.15526479599177836","2.9363147331804034,0.7601087582170963","1.8947203988954424,1.7098492769300937","0.19830566348005085,1.696221149072051","-0.941655558065325,1.9441805953741071","-1.592182828579098,1.791135228997469","-2.21976688427031,1.5449252567112446","-2.32587718873173,1.0182137509584426","-1.9877555332064627,0.17802198672294617","-0.46335956204384565,-0.7380792972385883","0.573471284166351,-1.7716776643335819"
"a","1.4054209244310856,-1.375540749952197","1.7987207156904041,1.4043138399720192","1.6450830825090408,2.3184476232528684","-0.2921937248259783,2.319324990609288","-2.095891790537536,2.0697341437131165","-3.7517417662546038,0.5061760827243328","-4.505017171320319,-1.2417168013960123","-4.021536612267792,-2.9142145450532433","-0.4313196522478014,-2.6074545347362754","2.7104940534502266,-1.7210615758180616","3.6344404979541896,-0.4809574703156948","2.734624870622158,0.6500918017059564","1.6490796047993004,1.8191852654397487","0.2435160570271313,2.51738497223258","-0.8610461900852621,2.7591262746721505","-2.3573817495420575,2.1330121454030273","-3.2275895895957945,1.2921212929874657","-2.571467860075831,0.45024084501266476","-0.6791670895427465,-0.12317045259475708","1.0480576120149343,-1.3380360719442366"
"a","-0.2762141384709626,-0.21410569201707838","1.752173045657575,1.5640478903323412","1.3778940350800752,2.5265455992877484","-0.4429695753680542,2.4093279176175595","-2.2285668613195417,1.7783984970211981","-3.6593978290781375,-0.11392506986558437","-4.235400019961595,-1.9460177476733922","-2.78521874730587,-2.637737444797158","0.0873004631165415,-2.2568635659992693","2.0045253200910986,-1.4233786059260367","2.5545912518158556,-0.3233803057283163","2.1830168240219354,0.7591577411025762","1.5118540311060844,1.9468109438776968","0.661246744383499,2.6479659933447834","-0.5788702571330592,2.7913778544574974","-2.067553730934113,2.2416993146151305","-3.0814287220358847,1.3451292450755834","-2.8212159433603285,0.31231121470332146","-0.6234883838754147,-0.3425111226558685","0.9513832444187253,-1.8294342722535133"
"a","1.6762740473255515,-1.6020342143774031","1.1557386729244141,-0.11241817243397235","2.1993580102309584,0.6728641900062561","1.4180458665959537,1.2802607593238353","-0.7857325904257595,1.004859763866663","-1.7315420533001422,0.9419932655870914","-2.5668141890510916,0.4852683192521333","-3.071831164868176,-0.09722235686779021","-2.767920406502485,-1.5031512308210133","-0.5435701034320518,-2.088384483647346","1.7788605615749955,-1.8725141200453042","3.3449317744284865,-0.5902724160373211","2.651220026704669,0.4112877217620611","1.294418464013934,1.3313117321252823","0.30291056834720076,2.2012568295896053","-0.5007751004636287,2.7615251525074243","-1.8746271666765213,2.3650106369853017","-2.9162469276636838,1.4991379035264252","-2.941166849386692,0.8891910652041435","-2.1936992538169027,0.039050153884291644"
"a","0.2,0","1.2000000000000002,0","1.5,0","0.7000000000000001,0","-1,0","-2.7,0","-2.9000000000000004,0","-2.8000000000000003,0","-1,0","1.8,0","6.6000000000000005,0","12.5,0","17.7,0","19.400000000000002,0","12.600000000000001,0","2.4000000000000004,0","-5.1000000000000005,0","-5.300000000000001,0","-1.8,0","2.1,0"
"a","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"a","-0.2,0","0.6000000000000001,0","-0.5,0","-2.4000000000000004,0","-1.1,0","2.9000000000000004,0","4.800000000000001,0","8,0","9.3,0","12.200000000000001,0","6.1000000000000005,0","3.3000000000000003,0","-3.7,0","-0.8,0","3.1,0","4.1000000000000005,0","7.2,0","9.4,0","7.6000000000000005,0","3.9000000000000004,0"
"a","1.7000000000000002,0","1.9000000000000001,0","1.6,0","1.8,0","2,0","1.9000000000000001,0","1.7000000000000002,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"a","-0.1,0","-0.30000000000000004,0","-0.1,0","-0.2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
