"label","duration_ms","total_path_length","avg_step_length","range_x","range_y","range_z","p1_x","p1_y","p1_z","p1_t","p2_x","p2_y","p2_z","p2_t","p3_x","p3_y","p3_z","p3_t","p4_x","p4_y","p4_z","p4_t","p5_x","p5_y","p5_z","p5_t","p6_x","p6_y","p6_z","p6_t","p7_x","p7_y","p7_z","p7_t","p8_x","p8_y","p8_z","p8_t","p9_x","p9_y","p9_z","p9_t","p10_x","p10_y","p10_z","p10_t","p11_x","p11_y","p11_z","p11_t","p12_x","p12_y","p12_z","p12_t","p13_x","p13_y","p13_z","p13_t","p14_x","p14_y","p14_z","p14_t","p15_x","p15_y","p15_z","p15_t","p16_x","p16_y","p16_z","p16_t","p17_x","p17_y","p17_z","p17_t","p18_x","p18_y","p18_z","p18_t","p19_x","p19_y","p19_z","p19_t","p20_x","p20_y","p20_z","p20_t"
"m",1284,63.38552946319075,3.336080498062671,4.889473684210525,9.178947368421053,12.621052631578948,0,0,0,65,0.5894736842105263,1.9684210526315788,2.4526315789473685,131,1.0315789473684212,2.8210526315789477,4.689473684210526,197,0.8157894736842105,1.5631578947368419,2.526315789473684,262,-0.03684210526315773,-1.0473684210526308,-1.9789473684210515,341,-0.4263157894736843,-2.673684210526316,-4.7894736842105265,411,-1.6526315789473702,-3.1368421052631583,-6.405263157894738,477,-2.531578947368421,-1.2421052631578946,-4.031578947368421,542,-2.8526315789473693,3.2368421052631566,1.3263157894736823,612,-1.210526315789474,6.042105263157895,6.215789473684211,674,-0.6210526315789481,4.705263157894738,5.515789473684211,740,-0.8421052631578946,1.747368421052633,1.0789473684210549,806,0.08421052631579115,0.5263157894736836,-1.5736842105263165,872,-0.5631578947368426,-1.0263157894736852,-2.8578947368421064,937,-0.1736842105263158,-1.4000000000000001,-3.5368421052631582,1002,-2.5,-2.4578947368421056,-4.636842105263159,1069,-1.6105263157894718,-0.38421052631578984,-2.9368421052631595,1135,-2.510526315789474,2.394736842105266,1.394736842105266,1217,-3.857894736842104,3.4263157894736853,3.9263157894736853,1283,-2.2,3.2,3.6000000000000005,1349
"m",1250,44.46918228111563,2.3404832779534543,3.305263157894737,6.5578947368421066,8.394736842105264,0,0,0,34,-0.05789473684210536,2.036842105263158,2.6157894736842104,107,0.4157894736842106,1.978947368421053,3.242105263157895,174,0,0.4789473684210529,-0.04736842105263134,236,-0.0736842105263158,-0.994736842105263,-2.1684210526315786,297,-0.8526315789473693,-2.426315789473685,-4.08421052631579,391,-2.2421052631578946,-2.4894736842105267,-4.778947368421052,453,-2.0263157894736836,-1.068421052631578,-2.568421052631578,514,-2.5578947368421057,2.3263157894736834,0.5210526315789465,592,-2.252631578947369,4.06842105263158,3.6157894736842104,654,-1.7315789473684207,2.7789473684210515,2.2789473684210515,715,-0.9000000000000001,0.989473684210526,-0.21578947368421103,777,-0.5789473684210529,-0.2631578947368418,-1.5052631578947364,838,-1.2684210526315782,-1.2789473684210524,-2.5894736842105264,899,-1.215789473684211,-1.4736842105263166,-2.8421052631578947,960,-2.3736842105263163,-1.773684210526316,-2.947368421052632,1021,-2.889473684210526,-2.089473684210526,-3,1083,-2.5736842105263165,0.03157894736841768,-1.094736842105266,1155,-2.8684210526315796,3.1210526315789435,2.242105263157887,1223,-2.3,3,3.2,1284
"m",1701,40.76250612296151,2.1453950591032376,2.515789473684208,5.152631578947368,7.536842105263158,0,0,0,34,-0.5210526315789474,0.2894736842105263,0.06842105263157883,116,-0.35789473684210515,0.8578947368421052,0.23684210526315774,297,-0.3736842105263158,1.6263157894736842,1.810526315789474,424,0.7263157894736847,1.0105263157894744,0.836842105263159,511,0.49473684210526303,-0.9421052631578947,-0.38421052631578906,593,0.026315789473684237,-2.273684210526316,-2.1842105263157894,674,-1.4578947368421056,-2.673684210526316,-3.8684210526315788,755,-1.2684210526315796,-0.4736842105263178,-1.8947368421052668,837,-1.615789473684211,2.0157894736842112,1.9263157894736853,919,-1.3,2.4157894736842107,3.415789473684211,1000,0.021052631578948655,0.8631578947368411,1.273684210526313,1082,0.7,-0.27368421052631586,-1.1473684210526316,1164,0.5631578947368417,-1.163157894736842,-1.8631578947368417,1245,-0.21578947368421103,-1.8105263157894744,-2.3473684210526318,1326,-1.4157894736842112,-2.231578947368422,-2.3000000000000003,1408,-1.7894736842105232,-0.6,-1.1736842105263179,1490,-1.463157894736844,2.242105263157896,1.9210526315789482,1571,-1.557894736842104,2.478947368421052,3.668421052631579,1653,-0.6000000000000001,1,1.3000000000000003,1735
"m",1317,36.055428931042755,1.8976541542654082,2.7,5.300000000000001,6,0,0,0,67,0.5,0.7,1.1000000000000003,134,0.30000000000000004,-0.20000000000000007,0.10000000000000009,200,0.7,-1,-1.9000000000000001,267,0,-2.1,-2.9000000000000004,350,-0.2,-2.9000000000000004,-4.2,417,-1.0000000000000002,-2.4000000000000004,-4.3,485,-1.3,-1,-2.6,551,-1.5000000000000002,1.4,-0.6,618,-0.10000000000000003,2.1,1.7,684,-1.1,-0.30000000000000004,0.6000000000000001,751,0.4,-0.7000000000000001,-2,817,-0.10000000000000003,-1.9000000000000001,-2.6,900,-0.7,-2.5,-3.1,967,-1.4000000000000001,-3.2,-3.3,1034,-2,-2.6,-4,1100,-0.7,0.30000000000000004,-0.7,1184,-1.6,1,0.5,1251,-1.7000000000000002,0.6000000000000001,0.9000000000000001,1317,-1.5000000000000002,-0.4,-0.4,1384
"m",1533,34.36096910463835,1.8084720581388605,3.0210526315789497,4.6684210526315795,6.036842105263157,0,0,0,34,0.12631578947368424,0.9,1.2000000000000002,111,0.0526315789473685,1.2000000000000002,1.642105263157895,194,0.4894736842105264,0.03157894736842087,-0.43684210526315825,282,0.6,-1.1578947368421055,-2.505263157894737,360,-0.031578947368421234,-2.247368421052632,-2.7105263157894743,439,-1.6947368421052638,-2.3000000000000003,-3.263157894736842,530,-1.7263157894736836,-0.8,-1.9157894736842112,608,-0.994736842105263,1.310526315789474,-0.25789473684210407,685,-0.5947368421052638,2.368421052631579,2.7736842105263153,764,-0.8052631578947363,0.8368421052631575,1.44736842105263,840,-0.18947368421052604,0.02105263157894799,-0.8842105263157891,917,-0.24210526315789452,-1,-1.7000000000000002,1011,-0.9210526315789472,-1.9421052631578948,-2,1088,-1.636842105263156,-2.184210526315789,-2.3315789473684223,1165,-1.6473684210526316,-1.1526315789473687,-2.1526315789473687,1243,-1.5368421052631562,0.06315789473684391,-1.5368421052631565,1336,-2.4210526315789496,0.9,1.394736842105266,1413,-1.3,1.0157894736842126,1.8157894736842128,1491,-1.1,0.20000000000000007,0.30000000000000004,1567
"m",1233,38.88498621550904,2.046578221868897,3.463157894736841,6.157894736842106,7.010526315789475,0,0,0,51,0.6842105263157896,1.268421052631579,0.8684210526315788,114,0.6000000000000001,1.3315789473684212,1.131578947368421,179,0.7368421052631576,0.7315789473684207,0.27894736842105194,243,0.4526315789473686,-0.8210526315789473,-2.0578947368421057,307,-1,-2.421052631578948,-3.5368421052631582,372,-1.15263157894737,-2.6052631578947376,-3.8105263157894744,435,-2.6421052631578945,-1.8421052631578945,-2.7526315789473683,499,-1.6,0.14736842105263154,-1.5789473684210529,564,0.03157894736842204,3.3578947368421055,1.7315789473684218,644,-0.45789473684210547,1.947368421052633,2.8000000000000003,708,-0.6,0.6210526315789473,1.089473684210526,772,-0.37894736842105203,-0.34210526315789597,-1.142105263157896,837,-0.5,-1.789473684210526,-2.189473684210526,900,-0.5,-1.9789473684210528,-3.0578947368421057,964,-2.7263157894736834,-2.8000000000000003,-2.7368421052631584,1028,-2.552631578947369,-1.6631578947368426,-2.852631578947369,1092,-1.8315789473684208,0.2842105263157848,-0.8842105263157949,1156,-2.284210526315789,2.131578947368422,1.4421052631578988,1221,-1.2,2.6,3.2,1284
"m",1534,32.79678482935043,1.726146569965812,2.3000000000000003,5.173684210526316,5.542105263157896,0,0,0,67,0.14736842105263162,0.6473684210526314,0.8000000000000003,142,0.010526315789473634,-0.4789473684210528,-0.6789473684210527,216,0.20000000000000004,-2.142105263157895,-2.984210526315789,291,-0.26842105263157917,-3.1789473684210527,-3.8894736842105266,380,-1.1842105263157896,-3.336842105263158,-4.426315789473684,457,-2,-2.447368421052632,-3.7315789473684213,531,-1.8000000000000003,-0.14736842105263315,-2.147368421052633,606,-1.263157894736842,1.8368421052631583,1.1157894736842113,680,-0.7000000000000001,0.29473684210526296,0.2684210526315789,755,-0.1473684210526315,-1.3894736842105262,-2.294736842105263,858,-0.8,-2.1210526315789475,-2.7,938,-1.5736842105263151,-2.973684210526315,-3.042105263157894,1012,-0.6631578947368411,-2.06842105263158,-3.06842105263158,1087,-1.9736842105263166,-2.1105263157894747,-3.2263157894736834,1162,-2.1,-1.4473684210526303,-2.468421052631578,1236,-1.0526315789473673,0.3631578947368439,-0.6842105263157889,1327,-0.994736842105263,0.5,-0.48947368421052606,1402,-1.3631578947368426,-0.4684210526315795,-0.8052631578947369,1476,-1.5000000000000002,-1.3,-2.1,1601
"m",1482,38.51150719990639,2.0269214315740207,2.942105263157894,5.515789473684212,6.268421052631577,0,0,0,69,-0.3263157894736842,0.631578947368421,1.1947368421052635,141,0.5789473684210528,0.463157894736842,0.34736842105263166,212,-0.015789473684210437,-1.78421052631579,-1.2684210526315791,315,-0.5263157894736843,-2.8000000000000003,-3.7526315789473688,405,-1.0578947368421052,-2.842105263157895,-3.942105263157895,478,-1.6105263157894738,-2.5210526315789474,-3.331578947368421,549,-1.847368421052631,-0.5368421052631583,-3.131578947368422,621,-1.4052631578947372,2.6,0.41578947368421104,710,-1.2315789473684207,1.1789473684210514,0.8631578947368411,781,-0.36842105263157954,-0.11578947368421044,-0.8789473684210514,854,-0.14210526315789454,-1.1894736842105262,-2.442105263157895,934,0.20000000000000004,-1.5210526315789474,-3.0368421052631582,1014,-1.021052631578948,-2.6000000000000005,-3.6105263157894742,1086,-1.6421052631578947,-2.915789473684211,-3.9,1158,-2.0263157894736836,-2,-2.5263157894736836,1230,-2.3631578947368412,-0.5105263157894713,-1.915789473684208,1319,-2.126315789473685,2.0368421052631573,1.321052631578945,1408,-2.0947368421052617,1.0947368421052617,2.326315789473682,1479,-1.3000000000000003,-0.6000000000000001,-1.5,1551
"m",1416,37.502290528269924,1.9738047646457855,3.521052631578947,4.884210526315789,5.842105263157894,0,0,0,34,-0.1,0.9789473684210527,1.4789473684210528,116,0.5,1.7,2.2,197,0.6052631578947368,0.3631578947368421,0.06315789473684214,296,0.4157894736842106,-0.7157894736842106,-0.2578947368421053,361,0.15789473684210548,-1.8368421052631576,-1.678947368421052,441,-0.4842105263157894,-1.836842105263158,-3.173684210526316,524,-2.9157894736842103,-1.789473684210526,-2.494736842105263,589,-1.1315789473684212,1.047368421052632,-0.721052631578947,654,-0.5000000000000001,2.894736842105263,2.3052631578947373,719,-1.1,1.5210526315789479,2.0157894736842112,783,-0.6157894736842103,0.5315789473684206,0.2947368421052615,847,0.2,-0.6473684210526316,-1.0263157894736843,947,-0.8894736842105254,-1.9894736842105254,-1.2368421052631582,1061,-1.7,-1.4947368421052631,-2.2578947368421054,1126,-2.5,-0.6736842105263164,-1.0315789473684218,1191,-1.9368421052631577,0.9947368421052637,-0.07894736842105132,1255,-1.6,2.2,1.247368421052636,1321,-1.689473684210526,1.7789473684210522,2.668421052631578,1386,-1.1,0.8,1.2000000000000002,1450
"m",1317,38.33798828137997,2.0177888569147355,2.899999999999999,5.468421052631578,5.794736842105263,0,0,0,50,0.3789473684210527,0.9684210526315791,1.0578947368421052,115,0.44210526315789467,0.7631578947368423,0.6000000000000001,180,0.30000000000000004,-0.5052631578947367,-0.7052631578947368,262,0.2,-2.473684210526316,-3.0315789473684216,343,-0.047368421052631504,-3.3000000000000003,-4.089473684210526,425,-1.831578947368421,-2.5631578947368423,-4.515789473684211,490,-1.8157894736842102,-0.7157894736842103,-2.3684210526315788,555,-0.6526315789473682,0.9947368421052638,-0.673684210526315,620,-0.39473684210526305,1.7052631578947373,1.2789473684210524,685,-0.2947368421052631,0.7263157894736851,0.2157894736842112,750,-0.4315789473684205,-0.7368421052631589,-0.8368421052631589,814,-0.27368421052631575,-2.1473684210526316,-3.2210526315789476,913,-0.42631578947368365,-2.4263157894736835,-3.7,978,-2.1105263157894742,-3.7,-3.8000000000000003,1042,-1.331578947368422,-1.7210526315789494,-2.947368421052633,1108,-2.273684210526315,0.4894736842105276,0.05789473684210633,1172,-2.4578947368421042,1.4000000000000004,0.9000000000000001,1237,-0.5789473684210521,1.7684210526315782,0.957894736842104,1302,-0.8,0,-0.8,1367
